"draw_size";"p1_seed";"p1_name";"p1_ht";"p1_age";"p2_seed";"p2_name";"p2_ht";"p2_age";"best_of";"p1_rank";"p1_rank_points";"p2_rank";"p2_rank_points";"hard";"carpet";"clay";"grass";"p1_abs_wins_clay";"p1_abs_wins_hard";"p1_abs_wins_carpet";"p1_abs_wins_grass";"p2_abs_losses_clay";"p2_abs_losses_hard";"p2_abs_losses_carpet";"p2_abs_losses_grass";"p1_abs_losses_clay";"p1_abs_losses_hard";"p1_abs_losses_carpet";"p1_abs_losses_grass";"p2_abs_wins_clay";"p2_abs_wins_hard";"p2_abs_wins_carpet";"p2_abs_wins_grass";"Grand_Slam";"Masters1000";"Olympics";"Another_level";"p1_abs_wins_level1";"p1_abs_wins_level2";"p2_abs_losses_level1";"p2_abs_losses_level2";"p1_abs_losses_level1";"p1_abs_losses_level2";"p2_abs_wins_level1";"p2_abs_wins_level2";"tournament_year";"p1_h2h";"p2_h2h";"R64";"R32";"R16";"QF";"SF";"Final";"p1_hand_R";"p1_hand_L";"p2_hand_R";"p2_hand_L";"p1_ace_avg";"p2_ace_avg";"p1_df_avg";"p2_df_avg";"p1_svpt_avg";"p2_svpt_avg";"p1_1stIn_avg";"p2_1stIn_avg";"p1_1stWon_avg";"p2_1stWon_avg";"p1_2ndWon_avg";"p2_2ndWon_avg";"p1_SvGms_avg";"p2_SvGms_avg";"p1_bpSaved_avg";"p2_bpSaved_avg";"p1_bpFaced_avg";"p2_bpFaced_avg";"p1_home";"p2_home";"winner_last_name";"loser_last_name";"FirstAlphabetically";"target"
"93047";56;3;"Ivan Lendl";188;33.1;6;"Michael Stich";193;24.5;3;7;2229;11;1828;0;0;1;0;319;358;260;80;28;33;22;6;69;0;0;0;46;0;0;0;0;1;0;0;377;640;37;52;76;0;69;0;1993;6;0;0;0;0;1;0;0;1;0;1;0;6.5;7.46280991735537;3.1304347826087;3.25619834710744;90.6521739130435;79.3223140495868;50.2608695652174;45.9834710743802;34.804347826087;36.5371900826446;18.7173913043478;19.1570247933884;13.7391304347826;12.8677685950413;4.8695652173913;3.08264462809917;8.95652173913044;4.30578512396694;0;0;"Stich";"Lendl";"Lendl";0
"93050";56;16;"Emilio Sanchez";180;27.9;6;"Michael Stich";193;24.5;3;31;938;11;1828;0;0;1;0;259;96;21;4;28;33;22;6;104;0;0;0;47;0;0;0;0;1;0;0;119;261;37;52;65;0;70;0;1993;0;1;0;0;0;0;1;0;1;0;1;0;3.28571428571429;7.41803278688525;1.67857142857143;3.27049180327869;81.2857142857143;79.0983606557377;49.75;45.8360655737705;32.0535714285714;36.4098360655738;15.1785714285714;19.1065573770492;12.2321428571429;12.8360655737705;5.26785714285714;3.0655737704918;9.19642857142857;4.28688524590164;0;0;"Stich";"Sanchez";"Sanchez";0
"93108";32;3;"Todd Martin";198;22.8;1;"Wally Masur";180;29.9;3;38;763;24;1120;0;0;1;0;14;0;0;0;42;0;0;0;8;22;5;4;23;125;48;92;0;0;0;1;0;39;0;169;10;29;80;208;1993;0;0;0;0;0;0;1;0;1;0;1;0;6.38297872340426;4.89090909090909;2.40425531914894;2.58181818181818;71.5744680851064;87.7454545454545;44.1489361702128;58.1454545454545;33.2127659574468;39.3090909090909;15.5744680851064;14.9090909090909;11.3191489361702;13.6545454545455;3.23404255319149;4.21818181818182;4.5531914893617;7.54545454545455;1;0;"Martin";"Masur";"Martin";1
"93110";32;3;"Todd Martin";198;22.8;2;"David Wheaton";193;23.9;3;38;763;36;784;0;0;1;0;15;0;0;0;13;0;0;0;8;22;5;4;18;72;21;24;0;0;0;1;0;40;0;60;10;29;51;84;1993;1;2;0;0;0;0;0;1;1;0;1;0;6.375;6.38461538461539;2.375;4.90384615384615;71.8541666666667;81.6538461538462;44.3125;46.4615384615385;33.3541666666667;32.4423076923077;15.625;15.4230769230769;11.3125;12.2307692307692;3.29166666666667;5.15384615384615;4.58333333333333;8.94230769230769;1;1;"Martin";"Wheaton";"Martin";1
"93164";64;7;"Sergi Bruguera";188;22.3;10;"Karel Novacek";190;28.1;3;11;1837;15;1533;0;0;1;0;139;0;0;0;80;0;0;0;50;24;19;2;151;32;40;7;0;1;0;0;55;0;53;0;33;62;47;183;1993;4;0;0;0;1;0;0;0;1;0;1;0;3;4.3448275862069;0.973451327433628;2.81034482758621;71.7079646017699;77.948275862069;43;44.2586206896552;30.0442477876106;29.7413793103448;16.2035398230088;15.3448275862069;11.1238938053097;11.6896551724138;3.55752212389381;4.58620689655172;5.49557522123894;8.32758620689655;0;0;"Bruguera";"Novacek";"Bruguera";1
"93165";64;2;"Jim Courier";185;22.7;16;"Fabrice Santoro";178;20.4;3;2;3517;25;1052;0;0;1;0;56;0;0;0;38;0;0;0;22;49;24;4;44;41;5;0;0;1;0;0;141;0;28;0;44;55;26;64;1993;1;0;0;0;1;0;0;0;1;0;1;0;5.52083333333333;1.34615384615385;2.27083333333333;3.48076923076923;76.7916666666667;81.7884615384615;47.1875;48.8846153846154;36.3263888888889;28.7307692307692;16.7916666666667;15.0576923076923;12.2986111111111;11.8846153846154;3.02777777777778;5.94230769230769;4.3125;10.7884615384615;0;0;"Courier";"Santoro";"Courier";1
"93169";64;7;"Sergi Bruguera";188;22.3;2;"Jim Courier";185;22.7;3;11;1837;2;3517;0;0;1;0;140;22;18;1;22;49;24;4;50;0;0;0;57;0;0;0;0;1;0;0;56;125;44;55;33;0;142;0;1993;0;3;0;0;0;1;0;0;1;0;1;0;2.38775510204082;5.48965517241379;1.85714285714286;2.26896551724138;80.9591836734694;76.7172413793104;49.8367346938776;47.1586206896552;30.9183673469388;36.3034482758621;14.469387755102;16.7379310344828;12.3877551020408;12.2758620689655;4.61224489795918;3.04827586206897;9.04081632653061;4.33103448275862;0;0;"Courier";"Bruguera";"Bruguera";0
"93170";64;4;"Goran Ivanisevic";193;21.6;1;"Pete Sampras";185;21.7;3;6;2272;1;3826;0;0;1;0;71;0;0;0;17;0;0;0;37;32;23;6;34;124;60;20;0;1;0;0;73;0;44;0;42;56;107;131;1993;3;2;0;0;0;0;1;0;0;1;1;0;12.5408163265306;7.72727272727273;3.01020408163265;3.66666666666667;76.7244897959184;89.7272727272727;43.6020408163265;52.6969696969697;36.9897959183673;37.9090909090909;18.5204081632653;17.7272727272727;12.2244897959184;13.6666666666667;2.8265306122449;4.24242424242424;3.64285714285714;7.54545454545455;0;0;"Ivanisevic";"Sampras";"Ivanisevic";1
"93171";64;2;"Jim Courier";185;22.7;6;"Michael Chang";175;21.2;3;2;3517;10;1853;0;0;1;0;58;0;0;0;19;0;0;0;22;49;24;4;40;140;47;10;0;1;0;0;143;0;45;0;44;55;99;138;1993;6;4;0;0;0;0;1;0;1;0;1;0;5.46575342465753;2.66666666666667;2.26712328767123;2.10416666666667;76.6232876712329;86;47.0547945205479;51.1666666666667;36.2328767123288;31.75;16.7465753424658;16.5416666666667;12.2602739726027;12.5833333333333;3.04109589041096;5.41666666666667;4.31506849315068;9.72916666666667;0;0;"Courier";"Chang";"Courier";1
"93172";64;2;"Jim Courier";185;22.7;4;"Goran Ivanisevic";193;21.6;5;2;3517;6;2272;0;0;1;0;59;0;0;0;37;0;0;0;22;49;24;4;72;57;49;18;0;1;0;0;144;0;42;0;44;55;74;122;1993;2;3;0;0;0;0;0;1;1;0;0;1;5.45578231292517;9.30952380952381;2.25850340136054;4.02380952380952;76.6598639455782;82.3809523809524;47.0884353741497;43.8571428571429;36.2448979591837;32.4761904761905;16.7551020408163;17.0952380952381;12.265306122449;12.5;3.04081632653061;4.16666666666667;4.30612244897959;7.85714285714286;0;0;"Courier";"Ivanisevic";"Courier";1
"93198";32;6;"Franco Davin";173;23.3;4;"Andrei Cherkasov";180;22.8;3;54;676;40;745;0;0;1;0;125;2;0;0;49;40;33;6;102;0;0;0;60;0;0;0;0;0;0;1;14;113;43;85;0;91;0;95;1993;1;0;0;0;0;1;0;0;0;1;1;0;1.05555555555556;3.0958904109589;2.97222222222222;1.35616438356164;83.5277777777778;80.8630136986301;58.25;50.1369863013699;32.8611111111111;35.7808219178082;10.7222222222222;17.2465753424658;12.0833333333333;12.3835616438356;5.88888888888889;4.46575342465753;11.1111111111111;6.53424657534247;0;0;"Cherkasov";"Davin";"Davin";0
"93341";128;1;"Pete Sampras";185;21.7;16;"Malivai Washington";180;23.9;5;1;3849;18;1408;0;0;1;0;40;0;0;0;11;0;0;0;19;38;22;9;23;70;15;12;1;0;0;0;110;0;26;0;45;43;32;88;1993;5;0;0;0;1;0;0;0;1;0;1;0;9.38157894736842;4.64150943396226;2.51973684210526;3.67924528301887;77.2565789473684;86.1320754716981;45.9868421052632;49.4339622641509;36.8223684210526;32.6792452830189;17.2960526315789;17.4339622641509;12.2302631578947;12.9056603773585;2.96052631578947;4.92452830188679;4.17105263157895;8.9622641509434;0;0;"Sampras";"Washington";"Sampras";1
"93348";128;2;"Jim Courier";185;22.7;15;"Thomas Muster";180;25.6;5;2;3565;16;1500;0;0;1;0;63;0;0;0;79;0;0;0;22;49;24;4;208;55;15;0;1;0;0;0;148;0;42;0;44;55;69;209;1993;3;2;0;0;1;0;0;0;1;0;0;1;5.48344370860927;1.42857142857143;2.27814569536424;1.97959183673469;77.1523178807947;76.2857142857143;47.4900662251656;53.5714285714286;36.5827814569536;30.9795918367347;16.7417218543046;11.1836734693878;12.3311258278146;11.3061224489796;3.04635761589404;5.04081632653061;4.3046357615894;9.28571428571429;0;0;"Courier";"Muster";"Courier";1
"93349";128;10;"Sergi Bruguera";188;22.3;1;"Pete Sampras";185;21.7;5;11;1908;1;3849;0;0;1;0;147;0;0;0;19;0;0;0;51;24;19;2;41;124;60;20;1;0;0;0;60;0;45;0;34;62;111;134;1993;1;0;0;0;0;1;0;0;1;0;1;0;2.99152542372881;7.61764705882353;1.01694915254237;3.58823529411765;71.7627118644068;88.7352941176471;43.2457627118644;52;30.3474576271186;37.4705882352941;16.1101694915254;17.5588235294118;11.1271186440678;13.5588235294118;3.55084745762712;4.11764705882353;5.43220338983051;7.41176470588235;0;0;"Bruguera";"Sampras";"Bruguera";1
"93350";128;3;"Stefan Edberg";188;27.3;11;"Andrei Medvedev";193;18.7;5;3;2982;12;1778;0;0;1;0;103;295;143;81;14;4;9;0;43;0;0;0;45;0;0;0;1;0;0;0;289;333;7;20;76;0;17;0;1993;4;1;0;0;0;1;0;0;1;0;1;0;2.71794871794872;5.26666666666667;4.35897435897436;2.86666666666667;92.0512820512821;78.8666666666667;57.2307692307692;43.85;39.5384615384615;32.7666666666667;16.7692307692308;18.2833333333333;14.1794871794872;12.0166666666667;4.41025641025641;3.8;8.07692307692308;5.78333333333333;0;0;"Medvedev";"Edberg";"Edberg";0
"93351";128;12;"Richard Krajicek";196;21.4;13;"Karel Novacek";190;28.1;5;13;1580;14;1555;0;0;1;0;19;0;0;0;81;0;0;0;13;19;14;5;155;32;40;7;1;0;0;0;42;0;54;0;23;28;51;183;1993;0;0;0;0;0;1;0;0;1;0;1;0;10.561797752809;4.30508474576271;3.32584269662921;2.77966101694915;80.0561797752809;77.3389830508475;47.5280898876404;44.0847457627119;38.3595505617978;29.5762711864407;17.8651685393258;15.135593220339;13;11.6271186440678;2.84269662921348;4.50847457627119;4.04494382022472;8.23728813559322;0;0;"Krajicek";"Novacek";"Krajicek";1
"93353";128;10;"Sergi Bruguera";188;22.3;11;"Andrei Medvedev";193;18.7;5;11;1908;12;1778;0;0;1;0;148;0;0;0;14;0;0;0;51;24;19;2;46;6;9;0;1;0;0;0;61;0;7;0;34;62;18;43;1993;0;3;0;0;0;0;1;0;1;0;1;0;3;3.46153846153846;1.02521008403361;3.42307692307692;72.1260504201681;79.8846153846154;43.4453781512605;44.6153846153846;30.4957983193277;29.2692307692308;16.2268907563025;16.2692307692308;11.1848739495798;12.3461538461538;3.57983193277311;4.73076923076923;5.46218487394958;9.03846153846154;0;0;"Bruguera";"Medvedev";"Bruguera";1
"93354";128;2;"Jim Courier";185;22.7;12;"Richard Krajicek";196;21.4;5;2;3565;13;1580;0;0;1;0;65;0;0;0;13;0;0;0;22;49;24;4;20;49;17;8;1;0;0;0;150;0;23;0;44;55;43;51;1993;3;1;0;0;0;0;1;0;1;0;1;0;5.50980392156863;8.74;2.30065359477124;4.38;77.6470588235294;89.48;47.7712418300654;49.6;36.7712418300654;37.72;16.8300653594771;18.84;12.4052287581699;13.82;3.0718954248366;4.08;4.36601307189542;7.16;0;0;"Courier";"Krajicek";"Courier";1
"93428";56;7;"Wayne Ferreira";185;21.7;9;"Marcos Ondruska";183;20.4;3;16;1549;28;988;0;0;0;1;0;0;0;13;0;0;0;2;14;28;13;5;11;24;0;2;0;0;0;1;0;53;0;19;28;32;14;23;1993;0;0;0;0;1;0;0;0;1;0;1;0;6.78651685393258;0.964285714285714;2.86516853932584;3.10714285714286;83.561797752809;77.5357142857143;47.2584269662921;45.75;36.1573033707865;27.3214285714286;19.4044943820225;14.1071428571429;13.0112359550562;10.9642857142857;3.67415730337079;5.89285714285714;5.61797752808989;10.4642857142857;0;0;"Ferreira";"Ondruska";"Ferreira";1
"93431";56;6;"Michael Stich";193;24.6;12;"David Wheaton";193;24;3;9;1982;33;843;0;0;0;1;0;0;0;28;0;0;0;13;31;33;22;6;18;72;21;26;0;0;0;1;0;115;0;62;38;54;51;86;1993;0;1;0;0;1;0;0;0;1;0;1;0;7.421875;6.58181818181818;3.3125;4.92727272727273;80.0859375;83.6727272727273;46.3671875;47.8545454545455;36.859375;33.5454545454545;19.3046875;15.6909090909091;12.953125;12.4909090909091;3.1171875;5.30909090909091;4.3203125;9.14545454545454;0;0;"Stich";"Wheaton";"Stich";1
"93432";56;3;"Boris Becker";190;25.5;14;"Guillaume Raoux";180;23.3;3;4;2577;47;702;0;0;0;1;0;0;0;77;0;0;0;8;42;35;32;12;2;29;15;8;0;0;0;1;0;257;0;45;60;61;15;39;1993;0;0;0;0;1;0;0;0;1;0;1;0;9.20909090909091;4.45283018867925;3.6;3.67924528301887;83.2;81.6792452830189;50.4090909090909;41.7169811320755;39.4727272727273;28.4905660377358;17.7363636363636;18.4339622641509;13.1909090909091;12.2830188679245;3.42727272727273;4.71698113207547;4.93636363636364;8.66037735849057;0;0;"Becker";"Raoux";"Becker";1
"93434";56;2;"Stefan Edberg";188;27.3;15;"Richey Reneberg";180;27.6;3;3;3061;48;701;0;0;0;1;0;0;0;82;0;0;0;12;44;64;54;19;24;82;36;17;0;0;0;1;0;334;0;83;77;104;45;114;1993;5;1;0;0;1;0;0;0;1;0;1;0;3.10493827160494;3.61702127659574;3.03703703703704;3.31914893617021;78.0432098765432;87.4255319148936;49.3827160493827;49.0851063829787;37.2222222222222;32.8723404255319;15.4691358024691;16.5744680851064;12.3456790123457;13;3.65432098765432;4.95744680851064;5.18518518518519;9.4468085106383;0;0;"Edberg";"Reneberg";"Edberg";1
"93435";56;7;"Wayne Ferreira";185;21.7;16;"Marc Kevin Goellner";196;22.7;3;16;1549;35;800;0;0;0;1;0;0;0;14;0;0;0;0;14;28;13;5;16;4;3;3;0;0;0;1;0;54;0;16;28;32;7;19;1993;0;0;0;0;0;1;0;0;1;0;1;0;6.75555555555556;5.1;2.85555555555556;3.9;83.0777777777778;72.95;46.9555555555556;39.55;35.9444444444444;27.15;19.3222222222222;15.35;12.9444444444444;11.7;3.63333333333333;3.4;5.55555555555556;7.3;0;0;"Ferreira";"Goellner";"Ferreira";1
"93437";56;3;"Boris Becker";190;25.5;6;"Michael Stich";193;24.6;3;4;2577;9;1982;0;0;0;1;88;152;177;78;31;33;22;6;0;0;0;12;0;0;0;29;0;0;0;1;237;258;38;54;0;61;0;116;1993;3;2;0;0;0;1;0;0;1;0;1;0;7.13333333333333;7.42635658914729;4.53333333333333;3.31007751937985;93.3666666666667;79.9069767441861;55.1666666666667;46.2480620155039;38.6;36.7906976744186;17.0666666666667;19.2713178294574;13.7666666666667;12.9302325581395;5.13333333333333;3.12403100775194;9.06666666666667;4.31782945736434;0;0;"Stich";"Becker";"Becker";0
"93439";56;7;"Wayne Ferreira";185;21.7;11;"Todd Martin";198;22.9;3;16;1549;32;895;0;0;0;1;0;0;0;15;0;0;0;4;14;28;13;5;16;25;5;12;0;0;0;1;0;55;0;29;28;32;13;45;1993;1;0;0;0;0;0;1;0;1;0;1;0;6.76923076923077;6.08108108108108;2.83516483516484;2.86486486486486;82.6483516483516;86.2972972972973;46.7472527472527;53.0810810810811;35.8351648351648;35.1351351351351;19.2197802197802;15.972972972973;12.9010989010989;13.1081081081081;3.59340659340659;4.27027027027027;5.49450549450549;8.13513513513514;0;0;"Ferreira";"Martin";"Ferreira";1
"93441";56;7;"Wayne Ferreira";185;21.7;6;"Michael Stich";193;24.6;3;16;1549;9;1982;0;0;0;1;19;55;9;16;31;33;22;6;0;0;0;5;0;0;0;31;0;0;0;1;43;56;38;54;0;32;0;118;1993;0;0;0;0;0;0;0;1;1;0;1;0;4.44230769230769;7.48091603053435;3.07692307692308;3.31297709923664;81.8653846153846;79.9389312977099;45.3846153846154;46.175572519084;29.8653846153846;36.8167938931298;16.0192307692308;19.3435114503817;12.0769230769231;12.9541984732824;5.61538461538461;3.12213740458015;9.96153846153846;4.31297709923664;0;0;"Stich";"Ferreira";"Ferreira";0
"93467";32;4;"Henrik Holm";183;24.7;5;"Alexander Volkov";188;26.2;3;19;1388;20;1309;0;0;0;1;3;20;10;12;36;52;39;14;0;0;0;8;0;0;0;24;0;0;0;1;11;34;50;91;0;27;0;132;1993;2;1;0;0;0;1;0;0;1;0;0;1;8.46153846153846;4.61261261261261;7.56410256410256;2.45945945945946;90.8461538461538;81.5225225225225;46.3589743589744;45.1531531531532;34.8461538461538;33.4504504504505;18.1794871794872;19.7387387387387;13.1794871794872;12.4774774774775;5.53846153846154;4.34234234234234;9.61538461538461;6.27027027027027;0;0;"Volkov";"Holm";"Holm";0
"93468";32;6;"Cedric Pioline";188;23.9;3;"Malivai Washington";180;23.9;3;21;1229;18;1464;0;0;0;1;35;22;13;4;12;39;18;10;0;0;0;3;0;0;0;14;0;0;0;1;25;49;27;52;0;44;0;90;1993;0;0;0;0;0;1;0;0;1;0;1;0;4.31578947368421;5.24038461538461;3.91228070175439;2.65384615384615;93.0877192982456;72.0865384615385;52.8245614035088;43.1346153846154;36.1578947368421;32.6826923076923;18.4736842105263;16.4615384615385;13.5087719298246;11.5673076923077;5.66666666666667;2.67307692307692;9.66666666666667;3.91346153846154;0;0;"Washington";"Pioline";"Pioline";0
"93469";32;2;"Richard Krajicek";196;21.5;7;"Wally Masur";180;30;3;12;1855;23;1160;0;0;0;1;20;49;17;10;44;101;45;52;0;0;0;5;0;0;0;94;0;0;0;1;43;53;72;170;0;28;0;210;1993;2;0;0;0;0;1;0;0;1;0;1;0;8.72549019607843;5.22077922077922;4.35294117647059;2.16883116883117;90.0980392156863;82.6883116883117;50.2156862745098;55.1688311688312;38.0588235294118;39.9090909090909;18.8039215686275;15.4285714285714;13.921568627451;13.1168831168831;4.05882352941176;3.81818181818182;7.2156862745098;5.67532467532468;0;0;"Masur";"Krajicek";"Krajicek";0
"93470";32;8;"Arnaud Boetsch";183;24.1;5;"Alexander Volkov";188;26.2;3;29;970;20;1309;0;0;0;1;0;0;0;10;0;0;0;14;29;20;17;4;26;72;66;25;0;0;0;1;0;43;0;91;29;41;56;133;1993;1;2;0;0;0;0;1;0;1;0;0;1;4.2089552238806;4;2.74626865671642;3.58823529411765;73.4328358208955;85.5294117647059;44.1194029850746;46.4264705882353;33.2985074626866;31.1176470588235;16.0298507462687;17.7647058823529;11.6268656716418;12.8088235294118;3.44776119402985;5.32352941176471;4.94029850746269;9.61764705882353;0;0;"Boetsch";"Volkov";"Boetsch";1
"93471";32;7;"Wally Masur";180;30;3;"Malivai Washington";180;23.9;3;23;1160;18;1464;0;0;0;1;0;0;0;95;0;0;0;10;44;101;45;52;23;70;15;15;0;0;0;1;0;211;0;52;72;170;32;91;1993;1;0;0;0;0;0;1;0;1;0;1;0;5.15384615384615;4.62962962962963;2.15384615384615;3.74074074074074;82.5897435897436;86.8148148148148;55.025641025641;49.7962962962963;39.8461538461538;32.962962962963;15.5769230769231;17.537037037037;13.0897435897436;12.9074074074074;3.82051282051282;4.94444444444444;5.65384615384615;8.96296296296296;0;0;"Masur";"Washington";"Masur";1
"93472";32;8;"Arnaud Boetsch";183;24.1;7;"Wally Masur";180;30;3;29;970;23;1160;0;0;0;1;0;0;0;11;0;0;0;52;29;20;17;4;23;125;48;96;0;0;0;1;0;44;0;170;29;41;80;212;1993;0;1;0;0;0;0;0;1;1;0;1;0;4.22058823529412;4.87719298245614;2.72058823529412;2.59649122807018;73.0882352941177;87.7894736842105;44;58.0175438596491;33.1764705882353;39.3157894736842;15.9117647058824;14.8771929824561;11.5882352941176;13.6140350877193;3.41176470588235;4.35087719298246;4.91176470588235;7.68421052631579;0;0;"Boetsch";"Masur";"Boetsch";1
"93498";32;5;"Francisco Clavet";183;24.6;4;"Claudio Pistolesi";180;25.8;3;43;732;152;274;0;0;1;0;69;0;0;0;86;0;0;0;55;29;7;2;73;2;0;1;0;0;0;1;0;77;0;77;27;66;13;63;1993;1;0;0;0;0;1;0;0;0;1;1;0;1.44578313253012;2.21212121212121;2.06024096385542;2.15151515151515;70.8433734939759;81.5454545454545;44.9397590361446;53;30.6746987951807;31.6969696969697;14.6987951807229;12.9090909090909;10.9156626506024;12.3333333333333;3.98795180722892;5.27272727272727;5.93975903614458;10.0909090909091;0;1;"Clavet";"Pistolesi";"Clavet";1
"93499";32;6;"Carlos Costa";183;25.1;3;"Magnus Gustafsson";185;26.4;3;44;725;37;787;0;0;1;0;70;11;1;1;45;36;28;4;43;0;0;0;106;0;0;0;0;0;0;1;28;55;35;78;0;46;0;129;1993;1;2;0;0;0;1;0;0;1;0;1;0;4.75555555555556;1.76136363636364;2.77777777777778;2.31818181818182;88.6666666666667;73.5568181818182;46.6888888888889;51.25;31.2444444444444;35.2272727272727;19.3777777777778;11.4318181818182;13.0888888888889;11.4431818181818;4.8;3.69318181818182;9.33333333333333;5.98863636363636;0;0;"Gustafsson";"Costa";"Costa";0
"93501";32;5;"Francisco Clavet";183;24.6;1;"Thomas Muster";180;25.7;3;43;732;15;1570;0;0;1;0;70;29;4;0;80;36;22;3;55;0;0;0;216;0;0;0;0;0;0;1;25;78;43;98;0;66;0;217;1993;1;0;0;0;0;0;1;0;0;1;0;1;0.970588235294118;1.8952380952381;2.39705882352941;1.80952380952381;76.5735294117647;73.6952380952381;47.4558823529412;49.5333333333333;28.7058823529412;34.2285714285714;13.2794117647059;13.8571428571429;11.5441176470588;11.447619047619;4.33823529411765;3.96190476190476;8.77941176470588;5.77142857142857;0;0;"Muster";"Clavet";"Clavet";0
"93503";32;3;"Magnus Gustafsson";185;26.4;1;"Thomas Muster";180;25.7;3;37;787;15;1570;0;0;1;0;108;36;31;3;80;36;22;3;45;0;0;0;217;0;0;0;0;0;0;1;47;131;43;98;0;78;0;218;1993;1;4;0;0;0;0;0;1;1;0;0;1;1.50980392156863;1.89622641509434;3.56862745098039;1.80188679245283;83.5098039215686;73.3867924528302;58.843137254902;49.2924528301887;36.2156862745098;34.0754716981132;10.7254901960784;13.8207547169811;12.4509803921569;11.4056603773585;5.6078431372549;3.93396226415094;9.96078431372549;5.73584905660377;0;0;"Muster";"Gustafsson";"Gustafsson";0
"93562";32;2;"Henrik Holm";183;24.8;8;"Guillaume Raoux";180;23.3;3;19;1386;51;671;0;0;0;1;0;0;0;14;0;0;0;9;6;19;10;9;2;29;15;10;0;0;0;1;0;36;0;46;16;28;15;41;1993;0;0;0;0;0;1;0;0;1;0;1;0;8.27272727272727;4.42592592592593;5.88636363636364;3.62962962962963;80.3409090909091;81.3518518518518;42.0454545454545;41.5740740740741;33.7727272727273;28.4444444444444;18.8181818181818;18.3703703703704;12.1363636363636;12.2407407407407;3.61363636363636;4.74074074074074;5.31818181818182;8.64814814814815;0;0;"Holm";"Raoux";"Holm";1
"93564";32;2;"Henrik Holm";183;24.8;4;"Wally Masur";180;30;3;19;1386;21;1272;0;0;0;1;3;20;10;15;44;101;45;53;0;0;0;9;0;0;0;99;0;0;0;1;11;37;72;171;0;28;0;215;1993;0;0;0;0;0;0;1;0;1;0;1;0;8.675;5.10975609756098;7.775;2.1219512195122;91.45;82.1829268292683;46.675;54.8170731707317;35.175;39.7317073170732;18.3;15.3170731707317;13.25;13.0121951219512;5.6;3.82926829268293;9.675;5.68292682926829;0;0;"Masur";"Holm";"Holm";0
"93684";128;4;"Boris Becker";190;25.5;6;"Michael Stich";193;24.6;5;4;2600;8;2105;0;0;0;1;0;0;0;82;0;0;0;6;42;35;32;13;54;69;39;36;1;0;0;0;241;0;38;0;60;62;79;119;1993;3;3;0;0;0;1;0;0;1;0;1;0;9.37719298245614;6.80851063829787;3.71052631578947;4.34042553191489;84.3070175438596;87.4042553191489;50.9210526315789;49.8723404255319;40.0263157894737;35.1276595744681;18.0614035087719;18.1702127659574;13.3070175438596;13.0851063829787;3.43859649122807;4.46808510638298;4.92105263157895;7.74468085106383;0;0;"Becker";"Stich";"Becker";1
"93750";32;2;"Thomas Muster";180;25.7;3;"Karel Novacek";190;28.2;3;13;1675;14;1665;0;0;1;0;221;55;15;0;82;36;44;8;80;0;0;0;158;0;0;0;0;0;0;1;69;222;56;114;0;98;0;186;1993;0;3;0;0;0;0;1;0;0;1;1;0;1.45098039215686;5.64227642276423;2.01960784313725;1.91056910569106;77.5098039215686;74.4715447154472;54.0392156862745;41.4715447154472;31.3921568627451;31.5772357723577;11.5098039215686;17.7154471544715;11.4901960784314;11.739837398374;4.98039215686275;3.77235772357724;9.27450980392157;5.47967479674797;0;0;"Novacek";"Muster";"Muster";0
"93751";32;1;"Sergi Bruguera";188;22.4;3;"Karel Novacek";190;28.2;3;5;2550;14;1665;0;0;1;0;154;0;0;0;82;0;0;0;51;24;19;2;159;32;40;7;0;0;0;1;0;132;0;114;34;62;51;187;1993;5;0;0;0;0;0;0;1;1;0;1;0;3.032;4.34426229508197;1.016;2.75409836065574;71.808;79.672131147541;43.336;45.8360655737705;30.544;30.9180327868852;16.192;15.5409836065574;11.192;12;3.52;4.52459016393443;5.36;8.24590163934426;0;0;"Bruguera";"Novacek";"Bruguera";1
"93776";32;5;"Alex Antonitsch";188;27.4;4;"Grant Stafford";188;22.1;3;110;386;109;399;0;0;0;1;0;0;0;15;0;0;0;3;24;45;26;11;0;13;0;6;0;0;0;1;0;72;0;8;19;87;7;12;1993;0;0;0;0;0;1;0;0;1;0;1;0;5.3;1.33333333333333;2.66666666666667;3.53333333333333;79.9666666666667;80.0666666666667;43.2666666666667;50.6666666666667;32.8666666666667;29.8;20.7333333333333;12;11.9333333333333;11.0666666666667;4.2;5.66666666666667;5.6;10.6666666666667;0;0;"Antonitsch";"Stafford";"Antonitsch";1
"93780";32;3;"Javier Frana";185;26.5;2;"Luis Herrera";170;21.8;3;78;522;88;481;0;0;0;1;0;0;0;24;0;0;0;9;21;43;9;19;5;21;2;11;0;0;0;1;0;61;0;42;25;67;4;35;1993;1;0;0;0;0;0;1;0;0;1;0;1;5.19047619047619;1.3125;1.57142857142857;3.41666666666667;75.6190476190476;88.6666666666667;49.8809523809524;54.9375;37.1190476190476;33.8125;14.5714285714286;16.1041666666667;12;13.2708333333333;3.30952380952381;5.5625;4.78571428571429;10.2083333333333;0;0;"Frana";"Herrera";"Frana";1
