"draw_size";"p1_seed";"p1_name";"p1_ht";"p1_age";"p2_seed";"p2_name";"p2_ht";"p2_age";"best_of";"p1_rank";"p1_rank_points";"p2_rank";"p2_rank_points";"hard";"carpet";"clay";"grass";"p1_abs_wins_clay";"p1_abs_wins_hard";"p1_abs_wins_carpet";"p1_abs_wins_grass";"p2_abs_losses_clay";"p2_abs_losses_hard";"p2_abs_losses_carpet";"p2_abs_losses_grass";"p1_abs_losses_clay";"p1_abs_losses_hard";"p1_abs_losses_carpet";"p1_abs_losses_grass";"p2_abs_wins_clay";"p2_abs_wins_hard";"p2_abs_wins_carpet";"p2_abs_wins_grass";"Grand_Slam";"Masters1000";"Olympics";"Another_level";"p1_abs_wins_level1";"p1_abs_wins_level2";"p2_abs_losses_level1";"p2_abs_losses_level2";"p1_abs_losses_level1";"p1_abs_losses_level2";"p2_abs_wins_level1";"p2_abs_wins_level2";"tournament_year";"p1_h2h";"p2_h2h";"R64";"R32";"R16";"QF";"SF";"Final";"p1_hand_R";"p1_hand_L";"p2_hand_R";"p2_hand_L";"p1_ace_avg";"p2_ace_avg";"p1_df_avg";"p2_df_avg";"p1_svpt_avg";"p2_svpt_avg";"p1_1stIn_avg";"p2_1stIn_avg";"p1_1stWon_avg";"p2_1stWon_avg";"p1_2ndWon_avg";"p2_2ndWon_avg";"p1_SvGms_avg";"p2_SvGms_avg";"p1_bpSaved_avg";"p2_bpSaved_avg";"p1_bpFaced_avg";"p2_bpFaced_avg";"p1_home";"p2_home";"winner_last_name";"loser_last_name";"FirstAlphabetically";"target"
"84612";48;4;"John McEnroe";180;31.9;2;"Pete Sampras";185;19.5;3;17;1096;5;1689;0;1;0;0;120;254;335;108;5;25;11;4;0;0;55;0;0;0;23;0;0;0;0;1;232;585;20;25;0;100;0;46;1991;0;2;0;0;0;0;1;0;0;1;1;0;3;5.33333333333333;3;1.33333333333333;102;58.3333333333333;57;36.6666666666667;42;29.3333333333333;23;13.3333333333333;15;9.66666666666667;8;2.66666666666667;10;3;1;1;"Sampras";"McEnroe";"McEnroe";0
"84646";48;16;"Paul Haarhuis";188;24.9;1;"Ivan Lendl";188;30.9;3;52;597;3;2369;1;0;0;0;12;12;7;2;56;43;38;21;0;12;0;0;0;305;0;0;0;0;0;1;13;20;60;98;0;26;0;568;1991;0;1;0;0;1;0;0;0;1;0;1;0;3;7.76923076923077;3.33333333333333;3.15384615384615;88.6666666666667;92.6923076923077;51.6666666666667;52.6153846153846;32.3333333333333;41.0769230769231;17.3333333333333;23;13.3333333333333;15.1538461538462;5.66666666666667;2.76923076923077;10.3333333333333;4.46153846153846;0;1;"Lendl";"Haarhuis";"Haarhuis";0
"84649";48;6;"Jim Courier";185;20.5;11;"Derrick Rostagno";185;25.3;3;23;969;42;673;1;0;0;0;28;54;13;2;10;52;20;17;0;30;0;0;0;60;0;0;0;0;0;1;42;55;30;69;0;36;0;75;1991;0;1;0;0;1;0;0;0;1;0;1;0;3.33333333333333;4.75;3;2;93;64.75;58;42.25;38.3333333333333;34.75;17.6666666666667;9.75;14.3333333333333;9.75;3.33333333333333;2.75;7;4;1;1;"Rostagno";"Courier";"Courier";0
"84653";48;8;"Darren Cahill";185;25.3;1;"Ivan Lendl";188;30.9;3;34;784;3;2369;1;0;0;0;31;56;17;19;56;43;38;21;0;43;0;0;0;306;0;0;0;0;0;1;43;80;60;98;0;75;0;569;1991;0;3;0;0;0;1;0;0;1;0;1;0;3.33333333333333;7.57142857142857;4.66666666666667;3.07142857142857;112.333333333333;88.6428571428571;70;50.5;43.3333333333333;39.5714285714286;23.6666666666667;22;16;14.5714285714286;7;2.64285714285714;11.3333333333333;4.21428571428571;0;1;"Lendl";"Cahill";"Cahill";0
"84654";48;13;"Cristiano Caratti";178;20.7;11;"Derrick Rostagno";185;25.3;3;46;644;42;673;1;0;0;0;1;11;5;0;10;52;20;17;0;3;0;0;0;61;0;0;0;0;0;1;6;11;30;69;0;5;0;76;1991;1;0;0;0;0;1;0;0;1;0;1;0;2.33333333333333;4.6;5.33333333333333;2.4;92;62.6;59;40.2;36.6666666666667;32.8;14.3333333333333;9.8;14.3333333333333;9.6;5.66666666666667;3;11.3333333333333;4.2;0;1;"Rostagno";"Caratti";"Caratti";0
"84656";48;15;"Mark Koevermans";185;23;7;"Michael Stich";193;22.3;3;50;607;25;912;1;0;0;0;18;16;5;3;11;15;11;4;0;13;0;0;0;31;0;0;0;0;0;1;11;31;13;28;0;30;0;41;1991;0;0;0;0;0;1;0;0;1;0;1;0;2.2;6.21428571428571;4.2;2.78571428571429;83.6;72.2142857142857;46.6;41.6428571428571;30.4;32.7857142857143;15.6;18.8571428571429;12.6;11.9285714285714;4.4;3;9.2;3.85714285714286;0;0;"Stich";"Koevermans";"Koevermans";0
"84657";48;1;"Ivan Lendl";188;30.9;11;"Derrick Rostagno";185;25.3;3;3;2369;42;673;1;0;0;0;0;307;0;0;0;52;0;0;56;43;38;21;4;62;15;24;0;0;0;1;0;570;0;69;60;98;28;77;1991;2;0;0;0;0;0;1;0;1;0;1;0;7.6;5;3;4.33333333333333;87.7333333333333;99;49.4666666666667;63.3333333333333;39;40.3333333333333;22.0666666666667;14.3333333333333;14.3333333333333;14.6666666666667;2.73333333333333;4.66666666666667;4.2;9.66666666666667;1;1;"Lendl";"Rostagno";"Lendl";1
"84658";48;5;"Michael Chang";175;18.9;7;"Michael Stich";193;22.3;3;15;1176;25;912;1;0;0;0;22;61;24;8;11;15;11;4;0;28;0;0;0;32;0;0;0;0;0;1;46;69;13;28;0;35;0;42;1991;0;0;0;0;0;0;1;0;1;0;1;0;3.5;6.06666666666667;3.5;2.66666666666667;67;70.4;33.5;40.6666666666667;19;32.1333333333333;13;18.5333333333333;10;11.7333333333333;5;2.8;10.5;3.6;1;0;"Stich";"Chang";"Chang";0
"84659";48;1;"Ivan Lendl";188;30.9;7;"Michael Stich";193;22.3;3;3;2369;25;912;1;0;0;0;0;308;0;0;0;15;0;0;56;43;38;21;6;33;8;8;0;0;0;1;0;571;0;28;60;98;12;43;1991;3;0;0;0;0;0;0;1;1;0;1;0;7.4375;7.75;3;6;85.5;87.75;48.1875;50.25;38.0625;37;21.5;17;14;13;2.6875;4.25;4.0625;6.75;1;0;"Lendl";"Stich";"Lendl";1
"84685";32;6;"Guy Forget";190;26.1;3;"Goran Ivanisevic";193;19.4;3;7;1592;11;1483;0;1;0;0;0;0;41;0;0;0;12;0;60;52;37;19;42;26;14;6;0;0;0;1;0;139;0;33;60;108;29;59;1991;1;1;0;0;0;1;0;0;0;1;0;1;8.3125;7.5;1.4375;2.5;72.875;79.5;40.5;47.5;33.6875;35;19.625;14.5;12.6875;14;2.25;5;3.125;8.5;0;0;"Forget";"Ivanisevic";"Forget";1
